time_s,temperature_C,pwm,heat_cool
89.66,36.65,213,1
89.78,36.65,213,1
89.9,36.67,213,1
90.02,36.69,213,1
90.15,36.73,213,1
90.27,36.79,213,1
90.39,36.85,213,1
90.51,36.92,214,1
90.64,37.02,213,1
90.76,37.11,213,1
90.88,37.22,213,1
91.0,37.32,213,1
91.12,37.44,213,1
91.25,37.58,213,1
91.37,37.7,213,1
91.49,37.85,214,1
91.61,37.98,213,1
91.74,38.14,213,1
91.86,38.24,213,0
91.98,38.45,213,0
92.1,38.62,213,0
92.23,38.78,213,0
92.35,38.95,213,0
92.47,39.09,213,0
92.59,39.23,213,0
92.72,39.34,213,0
92.84,39.46,213,0
92.96,39.54,213,0
93.08,39.63,213,0
93.2,39.7,213,0
93.33,39.76,213,0
93.45,39.8,213,0
93.57,39.85,213,0
93.69,39.88,213,0
93.82,39.9,213,0
93.94,39.93,213,0
94.06,39.94,213,0
94.18,39.94,213,0
94.31,39.94,213,0
94.43,39.93,213,0
94.55,39.91,213,0
94.67,39.91,213,0
94.8,39.89,213,0
94.92,39.86,213,0
95.04,39.82,213,0
95.16,39.79,213,0
95.29,39.76,213,0
95.41,39.71,213,0
95.53,39.68,213,0
95.65,39.63,213,0
95.77,39.58,213,0
95.9,39.53,213,0
96.02,39.48,213,0
96.14,39.41,213,0
96.26,39.36,213,0
96.39,39.29,213,0
96.51,39.23,213,0
96.63,39.17,213,0
96.75,39.1,213,0
96.88,39.02,213,0
97.0,38.95,213,0
97.12,38.88,213,0
97.24,38.8,213,0
97.37,38.73,213,0
97.49,38.66,213,0
97.61,38.57,213,0
97.73,38.49,213,0
97.85,38.41,213,0
97.98,38.32,213,0
98.1,38.24,213,0
98.22,38.15,213,0
98.34,38.07,213,0
98.47,37.98,213,0
98.59,37.9,213,0
98.71,37.82,213,0
98.83,37.72,213,0
98.96,37.63,213,0
99.08,37.54,213,0
99.2,37.45,213,0
99.32,37.36,213,0
99.44,37.26,213,0
99.57,37.17,213,0
99.69,37.07,213,0
99.81,36.99,213,0
99.93,36.89,213,0
100.06,36.8,213,0
100.18,36.71,213,0
100.3,36.62,213,0
100.42,36.52,213,0
100.55,36.43,213,0
100.67,36.33,213,0
100.79,36.23,213,0
100.91,36.13,213,0
101.04,36.04,213,0
101.16,35.94,213,0
101.28,35.85,213,0
101.4,35.75,213,0
101.52,35.65,213,0
101.65,35.55,213,0
101.77,35.46,213,0
101.89,35.37,213,0
102.01,35.27,213,0
102.14,35.18,213,0
102.26,35.08,213,0
102.38,34.99,213,0
102.5,34.89,213,0
102.63,34.8,213,0
102.75,34.69,213,0
102.87,34.6,213,0
102.99,34.51,213,0
103.12,34.41,213,0
103.24,34.31,213,0
103.36,34.22,213,0
103.48,34.13,213,0
103.61,34.03,213,0
103.73,33.94,213,0
103.85,33.85,213,0
103.97,33.75,213,0
104.09,33.66,213,0
104.22,33.57,213,0
104.34,33.48,213,0
104.46,33.39,213,0
104.58,33.29,213,0
104.71,33.2,213,0
104.83,33.1,213,0
104.95,33.02,214,0
105.07,32.93,213,0
105.2,32.83,213,0
105.32,32.75,213,0
105.44,32.66,213,0
105.56,32.56,213,0
105.69,32.48,213,0
105.81,32.38,213,0
105.93,32.3,213,0
106.05,32.21,213,0
106.18,32.12,213,0
106.3,32.03,213,0
106.42,31.94,213,0
106.54,31.85,213,0
106.66,31.76,213,0
106.79,31.67,213,0
106.91,31.59,213,0
107.03,31.51,213,0
107.16,31.42,213,0
107.28,31.33,213,0
107.4,31.25,213,0
107.52,31.17,213,0
107.64,31.08,213,0
107.77,30.99,213,0
107.89,30.91,213,0
108.01,30.82,213,0
108.13,30.73,213,0
108.26,30.66,213,0
108.38,30.57,213,0
108.5,30.48,213,0
108.62,30.4,213,0
108.75,30.31,213,0
108.87,30.23,213,0
108.99,30.14,213,0
109.11,30.07,213,0
109.24,29.99,213,0
109.36,29.91,213,0
109.48,29.83,213,0
109.6,29.75,213,0
109.73,29.66,213,0
109.85,29.59,213,0
109.97,29.5,213,0
110.09,29.42,213,0
110.22,29.35,213,0
110.34,29.26,213,0
110.46,29.18,213,0
110.58,29.11,213,0
110.7,29.03,213,0
110.83,28.95,213,0
110.95,28.87,213,0
111.07,28.8,213,0
111.19,28.72,213,0
111.32,28.65,213,0
111.44,28.57,213,0
111.56,28.49,213,0
111.68,28.42,213,0
111.81,28.35,213,0
111.93,28.27,213,0
112.05,28.2,213,0
112.17,28.13,213,0
112.3,28.05,213,0
112.42,27.97,213,0
112.54,27.9,213,0
112.66,27.83,213,0
112.79,27.76,213,0
112.91,27.69,213,0
113.03,27.62,213,0
113.15,27.54,213,0
113.27,27.47,213,0
113.4,27.41,213,0
113.52,27.34,213,0
113.64,27.27,213,0
113.76,27.2,213,0
113.89,27.13,213,0
114.01,27.05,213,0
114.13,26.99,213,0
114.25,26.92,213,0
114.38,26.85,213,0
114.5,26.78,213,0
114.62,26.71,213,0
114.74,26.64,213,0
114.87,26.58,213,0
114.99,26.51,213,0
115.11,26.45,213,0
115.23,26.37,213,0
115.36,26.3,213,0
115.48,26.24,213,0
115.6,26.17,213,0
115.72,26.1,213,0
115.85,26.04,213,0
115.97,25.98,213,0
116.09,25.91,213,0
116.21,25.85,213,0
116.33,25.77,213,0
116.46,25.7,213,0
116.58,25.64,213,0
116.7,25.58,213,0
116.82,25.51,213,0
116.95,25.45,213,0
117.07,25.38,213,0
117.19,25.31,213,0
117.31,25.25,213,0
117.44,25.18,213,0
117.56,25.12,213,0
117.68,25.05,213,0
117.8,24.99,213,0
117.93,24.93,213,0
118.05,24.86,213,0
